GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.filefilter,AndFileFilterTestCase,22,843,2,4,2,149,3,16,1,15
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.filefilter,PackageTestSuite,25,49,0,6,3,5,2,4,2,1
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.filefilter,IOFileFilterAbstractTestCase.TesterTrueFileFilter,0,32,0,0,0,10,0,6,0,6
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.comparator,DefaultFileComparatorTest,10,50,1,1,2,11,2,3,1,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.comparator,PackageTestSuite,43,91,6,6,3,8,8,1,2,1
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.comparator,SizeFileComparatorTest,11,145,2,2,2,28,3,5,1,5
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.comparator,LastModifiedFileComparatorTest,11,69,1,3,2,19,2,4,1,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.comparator,ExtensionFileComparatorTest,10,50,1,1,2,11,2,3,1,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.comparator,PathFileComparatorTest,10,50,1,1,2,11,2,3,1,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.comparator,ComparatorAbstractTestCase,6,104,6,6,0,20,6,5,0,5
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.comparator,NameFileComparatorTest,10,50,1,1,2,11,2,3,1,3
