GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,DirectoryWalkerTestCase.TestFileFinder,4,32,0,0,1,12,0,5,0,5
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,LineIteratorTestCase,85,467,4,18,28,130,5,25,1,18
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,DemuxTestCase,0,238,0,4,0,58,0,12,0,10
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,DemuxTestCase.ReaderThread,3,54,0,2,2,15,0,4,0,3
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,FileSystemUtilsTestCase.new FileSystemUtils() {...},0,8,0,0,0,3,0,2,0,2
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,AllIOTestSuite,7,19,0,0,3,6,2,1,2,1
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,FileUtilsCleanDirectoryTestCase,29,222,6,8,9,50,7,12,1,11
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,LineIteratorTestCase.new LineIterator() {...},0,25,0,2,0,4,0,3,0,2
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,FileUtilsFileNewerTestCase,33,156,2,2,8,35,2,9,0,9
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,PackageTestSuite,127,287,0,40,3,22,2,21,2,1
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,HexDumpTest,36,829,2,42,7,141,2,25,1,4
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,FilenameUtilsTestCase,37,5198,3,3,9,712,4,31,1,31
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,FileDeleteStrategyTestCase,16,228,1,1,4,62,1,9,0,9
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,FileCleaningTrackerTestCase,55,602,2,8,12,146,3,18,1,15
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,FileCleanerTestCase,10,19,1,1,2,4,2,3,1,3
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,IOUtilsWriteTestCase,81,1360,1,1,26,326,2,47,1,47
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,FileUtilsTestCase,241,2417,29,47,64,564,30,71,1,62
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,FilenameUtilsWildcardTestCase,2,736,1,3,0,124,1,10,0,9
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,IOUtilsCopyTestCase,82,674,5,5,26,157,6,26,1,26
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,DirectoryWalkerTestCase.TestFalseFileFinder,0,7,0,0,0,3,0,2,0,2
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,FileSystemUtilsTestCase.MockFileSystemUtils,0,36,0,2,0,10,0,4,0,3
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,EndianUtilsTest,0,873,0,2,0,181,0,22,0,21
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,DirectoryWalkerTestCase.TestMultiThreadCancelWalker,5,65,0,6,1,20,0,9,0,6
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,IOUtilsTestCase,33,726,12,12,7,195,12,22,0,22
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,FileUtilsWaitForTestCase,10,39,1,1,2,10,2,5,1,5
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,FileUtilsListFilesTestCase,11,351,1,3,3,87,1,8,0,7
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,FileSystemUtilsTestCase.new Process() {...},0,26,0,0,0,8,0,7,0,7
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,DirectoryWalkerTestCase.TestCancelWalker,5,57,0,6,1,17,0,8,0,5
